date,value
2020-01-01,0
2020-01-02,2
2020-01-03,4
2020-01-04,6
2020-01-05,8
2020-01-06,10
2020-01-07,12
2020-01-08,14
2020-01-09,16
2020-01-10,18
2020-01-11,10
2020-01-12,12
2020-01-13,14
2020-01-14,16
2020-01-15,18
2020-01-16,20
2020-01-17,22
2020-01-18,24
2020-01-19,26
2020-01-20,28
2020-01-21,20
2020-01-22,22
2020-01-23,24
2020-01-24,26
2020-01-25,28
2020-01-26,30
2020-01-27,32
2020-01-28,34
2020-01-29,36
2020-01-30,38
2020-01-31,30
2020-02-01,32
2020-02-02,34
2020-02-03,36
2020-02-04,38
2020-02-05,40
2020-02-06,42
2020-02-07,44
2020-02-08,46
2020-02-09,48
2020-02-10,40
2020-02-11,42
2020-02-12,44
2020-02-13,46
2020-02-14,48
2020-02-15,50
2020-02-16,52
2020-02-17,54
2020-02-18,56
2020-02-19,58
2020-02-20,50
2020-02-21,52
2020-02-22,54
2020-02-23,56
2020-02-24,58
2020-02-25,60
2020-02-26,62
2020-02-27,64
2020-02-28,66
2020-02-29,68
2020-03-01,60
2020-03-02,62
2020-03-03,64
2020-03-04,66
2020-03-05,68
2020-03-06,70
2020-03-07,72
2020-03-08,74
2020-03-09,76
2020-03-10,78
2020-03-11,70
2020-03-12,72
2020-03-13,74
2020-03-14,76
2020-03-15,78
2020-03-16,80
2020-03-17,82
2020-03-18,84
2020-03-19,86
2020-03-20,88
2020-03-21,80
2020-03-22,82
2020-03-23,84
2020-03-24,86
2020-03-25,88
2020-03-26,90
2020-03-27,92
2020-03-28,94
2020-03-29,96
2020-03-30,98
2020-03-31,90
2020-04-01,92
2020-04-02,94
2020-04-03,96
2020-04-04,98
2020-04-05,100
2020-04-06,102
2020-04-07,104
2020-04-08,106
2020-04-09,108
